学科,模块,任务,主要要求,不可绕过要求,借力步骤,现有依据,规则,审核状态
"数学","初高衔接","二次函数的性质与图象","数理","数理、空间","空间：先画出对象和位置，标出题目给出的条件；推演：先连接已知条件，写出每一步能推出什么","函数关系以数量变化为主，图像结构可作为固定辅助入口。","math-function-visual","待教研复核"
"数学","初高衔接","不等式性质","数理","数理","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理数量、符号和变化，推演与公式提取提供支持。","math-quantitative","待教研复核"
"数学","初高衔接","一元二次不等式","数理","数理","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理数量、符号和变化，推演与公式提取提供支持。","math-quantitative","待教研复核"
"数学","初高衔接","其他不等式","数理","数理","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理数量、符号和变化，推演与公式提取提供支持。","math-quantitative","待教研复核"
"数学","集合与常用逻辑用语","集合","数理","数理","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理数量、符号和变化，推演与公式提取提供支持。","math-quantitative","待教研复核"
"数学","集合与常用逻辑用语","常用逻辑用语","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；推演：先连接已知条件，写出每一步能推出什么","核心动作是建立条件链并推演，符号处理提供支持。","math-reasoning","待教研复核"
"数学","基本不等式","基本不等式","数理","数理","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理数量、符号和变化，推演与公式提取提供支持。","math-quantitative","待教研复核"
"数学","平面向量","向量的概念与线性运算","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接处理图形与位置，推演和数理支持证明与计算。","math-space","待教研复核"
"数学","平面向量","向量的坐标表示法和运算","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接处理图形与位置，推演和数理支持证明与计算。","math-space","待教研复核"
"数学","复数","复数","数理","数理","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理数量、符号和变化，推演与公式提取提供支持。","math-quantitative","待教研复核"
"数学","三角函数与解三角形","三角函数基础","数理","数理","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理数量、符号和变化，推演与公式提取提供支持。","math-quantitative","待教研复核"
"数学","三角函数与解三角形","三角函数图像与性质","数理","数理、空间","空间：先画出对象和位置，标出题目给出的条件；推演：先连接已知条件，写出每一步能推出什么","函数关系以数量变化为主，图像结构可作为固定辅助入口。","math-function-visual","待教研复核"
"数学","三角函数与解三角形","正余弦定理","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"数学","数列","等差数列","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；推演：先连接已知条件，写出每一步能推出什么","核心动作是从变化中归纳并推出结论，数理与公式提取提供支持。","math-sequence","待教研复核"
"数学","数列","等比数列","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；推演：先连接已知条件，写出每一步能推出什么","核心动作是从变化中归纳并推出结论，数理与公式提取提供支持。","math-sequence","待教研复核"
"数学","数列","数列求通项","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；推演：先连接已知条件，写出每一步能推出什么","核心动作是从变化中归纳并推出结论，数理与公式提取提供支持。","math-sequence","待教研复核"
"数学","数列","数列求和","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；推演：先连接已知条件，写出每一步能推出什么","核心动作是从变化中归纳并推出结论，数理与公式提取提供支持。","math-sequence","待教研复核"
"数学","空间向量与立体几何空间几何体","空间几何体的结构及表面积与体积","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接处理图形与位置，推演和数理支持证明与计算。","math-space","待教研复核"
"数学","空间向量与立体几何空间几何体","点、直线、平面之间的位置关系","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接处理图形与位置，推演和数理支持证明与计算。","math-space","待教研复核"
"数学","空间向量与立体几何空间几何体","空间向量与立体几何","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接处理图形与位置，推演和数理支持证明与计算。","math-space","待教研复核"
"数学","计数原理与概率统计","统计","数理","数理","推演：先连接已知条件，写出每一步能推出什么","核心对象是数据、数量和概率关系，推演用于解释和判断。","math-statistics","待教研复核"
"数学","计数原理与概率统计","统计案例","数理","数理","推演：先连接已知条件，写出每一步能推出什么","核心对象是数据、数量和概率关系，推演用于解释和判断。","math-statistics","待教研复核"
"数学","计数原理与概率统计","计数原理","数理","数理","推演：先连接已知条件，写出每一步能推出什么","核心对象是数据、数量和概率关系，推演用于解释和判断。","math-statistics","待教研复核"
"数学","计数原理与概率统计","概率","数理","数理","推演：先连接已知条件，写出每一步能推出什么","核心对象是数据、数量和概率关系，推演用于解释和判断。","math-statistics","待教研复核"
"数学","计数原理与概率统计","随机变量及其分布","数理","数理","推演：先连接已知条件，写出每一步能推出什么","核心对象是数据、数量和概率关系，推演用于解释和判断。","math-statistics","待教研复核"
"数学","函数与导数","函数及其性质","数理","数理","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理数量、符号和变化，推演与公式提取提供支持。","math-quantitative","待教研复核"
"数学","函数与导数","指对幂函数","数理","数理","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理数量、符号和变化，推演与公式提取提供支持。","math-quantitative","待教研复核"
"数学","函数与导数","函数的应用","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；推演：先连接已知条件，写出每一步能推出什么","核心动作是建立条件链并推演，符号处理提供支持。","math-reasoning","待教研复核"
"数学","函数与导数","导数及其应用","推演","推演、数理","数理：先列出已知数量和单位，再写出它们的关系；推演：先连接已知条件，写出每一步能推出什么","核心动作是建立条件链并推演，符号处理提供支持。","math-reasoning","待教研复核"
"数学","平面解析几何","直线与方程","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接处理图形与位置，推演和数理支持证明与计算。","math-space","待教研复核"
"数学","平面解析几何","圆与方程","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接处理图形与位置，推演和数理支持证明与计算。","math-space","待教研复核"
"数学","平面解析几何","椭圆","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接处理图形与位置，推演和数理支持证明与计算。","math-space","待教研复核"
"数学","平面解析几何","双曲线","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接处理图形与位置，推演和数理支持证明与计算。","math-space","待教研复核"
"数学","平面解析几何","抛物线","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接处理图形与位置，推演和数理支持证明与计算。","math-space","待教研复核"
"数学","平面解析几何","拓展：直线与圆锥曲线的位置关系","空间","空间、数理","推演：先连接已知条件，写出每一步能推出什么；数理：先列出已知数量和单位，再写出它们的关系","任务直接处理图形与位置，推演和数理支持证明与计算。","math-space","待教研复核"
"英语","核心词汇","初阶词汇","记忆","记忆、语言","语言：先用自己的话说清题目要求，再找出对应信息","词汇学习的核心是信息保持与提取，语境理解提供辅助。","language-vocabulary-recall","待教研复核"
"英语","核心词汇","中阶词汇","记忆","记忆、语言","语言：先用自己的话说清题目要求，再找出对应信息","词汇学习的核心是信息保持与提取，语境理解提供辅助。","language-vocabulary-recall","待教研复核"
"英语","核心词汇","高阶词汇","记忆","记忆、语言","语言：先用自己的话说清题目要求，再找出对应信息","词汇学习的核心是信息保持与提取，语境理解提供辅助。","language-vocabulary-recall","待教研复核"
"英语","基础语法","五大句子类型","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"英语","基础语法","八大句子成分","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"英语","语法填空","名词","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"英语","语法填空","形容词&副词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"英语","语法填空","动词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"英语","语法填空","介词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"英语","语法填空","代词&冠词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"英语","语法填空","连词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"英语","阅读","总论","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"英语","阅读","长难句","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","语篇理解是主任务，推演与信息提取用于完成判断。","language-reading","待教研复核"
"英语","阅读","细节理解","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","语篇理解是主任务，推演与信息提取用于完成判断。","language-reading","待教研复核"
"英语","阅读","推理判断","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；推演：先连接已知条件，写出每一步能推出什么","答案不能直接提取，需要在理解文本后完成推演。","language-inference","待教研复核"
"英语","阅读","词义猜测","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"英语","阅读","主旨大意&选标题","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；推演：先连接已知条件，写出每一步能推出什么","答案不能直接提取，需要在理解文本后完成推演。","language-inference","待教研复核"
"英语","七选五","总论","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"英语","七选五","匹配关系","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；推演：先连接已知条件，写出每一步能推出什么","答案不能直接提取，需要在理解文本后完成推演。","language-inference","待教研复核"
"英语","七选五","匹配逻辑","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；推演：先连接已知条件，写出每一步能推出什么","答案不能直接提取，需要在理解文本后完成推演。","language-inference","待教研复核"
"英语","七选五","匹配句式+功能","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"英语","完形","对应原文","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"英语","完形","感情色彩","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"英语","完形","逻辑关系","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；推演：先连接已知条件，写出每一步能推出什么","答案不能直接提取，需要在理解文本后完成推演。","language-inference","待教研复核"
"英语","完形","熟词僻义","记忆","记忆、语言","语言：先用自己的话说清题目要求，再找出对应信息","词汇学习的核心是信息保持与提取，语境理解提供辅助。","language-vocabulary-recall","待教研复核"
"英语","完形","动词性质&固定搭配","记忆","记忆、语言","语言：先用自己的话说清题目要求，再找出对应信息","词汇学习的核心是信息保持与提取，语境理解提供辅助。","language-vocabulary-recall","待教研复核"
"英语","完形","动作衔接","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"英语","应用文写作","应用文写作思路","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"英语","应用文写作","观点类应用文写作","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"英语","应用文写作","信息类应用文写作","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"英语","读后续写","读后续写情绪描写","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"英语","读后续写","读后续写动作描写","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"英语","读后续写","读后续写句式升级","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"英语","听力","听力基础元能力--语音现象","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","语篇理解是主任务，推演与信息提取用于完成判断。","language-reading","待教研复核"
"英语","听力","听力-短对话","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","语篇理解是主任务，推演与信息提取用于完成判断。","language-reading","待教研复核"
"英语","听力","听力-长对话&独白","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","语篇理解是主任务，推演与信息提取用于完成判断。","language-reading","待教研复核"
"英语","听力","听力真题答案定位填空特训","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","语篇理解是主任务，推演与信息提取用于完成判断。","language-reading","待教研复核"
"日语","听力模块","日常生活","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","听力模块","时间、数量","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","听力模块","人物、状态描述","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","听力模块","校园、职场","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","听力模块","场所","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","听力模块","动作行为","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","听力模块","原因、理由","推演","推演、语言","语言：先用自己的话说清题目要求，再找出对应信息；推演：先连接已知条件，写出每一步能推出什么","答案不能直接提取，需要在理解文本后完成推演。","language-inference","待教研复核"
"日语","基础句型结构（语言知识运用1）","判断句","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","基础句型结构（语言知识运用1）","指示代词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","基础句型结构（语言知识运用1）","动词基础","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","基础句型结构（语言知识运用1）","存在动词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","基础句型结构（语言知识运用1）","基本助词1","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","基础句型结构（语言知识运用1）","基本助词2","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","基础句型结构（语言知识运用1）","物品授受","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","形容词句法功能（语言知识运用2）","数量词","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","形容词句法功能（语言知识运用2）","一类形容词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","形容词句法功能（语言知识运用2）","二类形容词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","形容词句法功能（语言知识运用2）","形容词て形","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","形容词句法功能（语言知识运用2）","变化句","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","形容词句法功能（语言知识运用2）","基本助词3","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","形容词句法功能（语言知识运用2）","比较句型","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词活用与简体表达（语言知识运用3）","动词原形","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词活用与简体表达（语言知识运用3）","动词ない形","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词活用与简体表达（语言知识运用3）","动词て形","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词活用与简体表达（语言知识运用3）","动词た形","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词活用与简体表达（语言知识运用3）","敬体与简体","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","动词活用与简体表达（语言知识运用3）","简体形基本句型1","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词活用与简体表达（语言知识运用3）","简体形基本句型2","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词的扩展表达与运用（语言知识运用4）","假定语法1","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词的扩展表达与运用（语言知识运用4）","假定语法2","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词的扩展表达与运用（语言知识运用4）","动词命令形","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词的扩展表达与运用（语言知识运用4）","动词意志形","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词的扩展表达与运用（语言知识运用4）","样态语法1","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词的扩展表达与运用（语言知识运用4）","样态语法2","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词语态与功能转化（语言知识运用5）","动词可能形","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词语态与功能转化（语言知识运用5）","补助动词1","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词语态与功能转化（语言知识运用5）","补助动词2","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词语态与功能转化（语言知识运用5）","被动句","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","动词语态与功能转化（语言知识运用5）","使役句","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","助词（语言知识运用6）","格助词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","助词（语言知识运用6）","接续助词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","助词（语言知识运用6）","副助词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词（语言知识运用7）","动词变形与自他动词","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词（语言知识运用7）","补助动词总结","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","动词（语言知识运用7）","复合词总结","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","动词（语言知识运用7）","授受动词总结","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","形容词（语言知识运用8）","形容词总结","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","助动词（语言知识运用9）","愿望表达","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"日语","助动词（语言知识运用9）","样态语法","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","助动词（语言知识运用9）","ないで・なくて","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","助动词（语言知识运用9）","目的表达","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","写作直接要求语言组织与表达，推演和材料提取提供支持。","language-writing","待教研复核"
"日语","形式名词（语言知识运用10）","形式名词","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","敬语（语言知识运用11）","敬语","语言","语言","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"日语","单词和句型（语言知识运用10）","句型","语言","语言","记忆：先回想并写下相关概念，再对照材料补全；推演：先连接已知条件，写出每一步能推出什么","语法的直接对象是语言结构，规则提取与关系判断提供支持。","language-grammar","待教研复核"
"日语","单词和句型（语言知识运用10）","单词","记忆","记忆、语言","语言：先用自己的话说清题目要求，再找出对应信息","词汇学习的核心是信息保持与提取，语境理解提供辅助。","language-vocabulary-recall","待教研复核"
